backbone,ablation,process_id,n,diagnosis_ok,substance_ok,dose_ok,tools_ok,gateway_ok,escalation_ok,overall,mean_latency_s,escalation_rate
qwen-local,full,P1,20,0.95,0.2,0.15,0.0,0.5,0.95,0.4583,70.4845,0.05
qwen-local,full,P2,20,0.75,0.0,0.0,0.0,0.3,0.75,0.3,75.7995,0.25
qwen-local,full,P3,20,0.8,0.0,0.15,0.0,0.15,0.5,0.2667,68.9375,0.5
qwen-local,full,P4,20,0.85,0.1,0.35,0.0,0.25,0.75,0.3833,71.9685,0.25
qwen-local,full,P5,20,0.75,0.4,0.1,0.0,0.15,0.65,0.3417,67.2555,0.35
qwen-local,no_execution,P1,20,1.0,0.45,0.1,0.0,0.75,1.0,0.55,65.388,0.0
qwen-local,no_execution,P2,20,0.8,0.1,0.05,0.0,0.3,0.95,0.3667,81.9345,0.05
qwen-local,no_execution,P3,20,0.95,0.0,0.25,0.0,0.1,0.95,0.375,72.4265,0.05
qwen-local,no_execution,P4,20,0.95,0.2,0.35,0.0,0.25,0.95,0.45,79.7875,0.05
qwen-local,no_execution,P5,20,1.0,0.35,0.2,0.0,0.25,1.0,0.4667,79.513,0.0
qwen-local,no_knowledge,P1,20,0.95,0.35,0.0,0.0,0.4,0.8,0.4167,29.1645,0.2
qwen-local,no_knowledge,P2,20,0.95,0.1,0.0,0.0,0.25,0.7,0.3333,28.5985,0.3
qwen-local,no_knowledge,P3,20,0.95,0.05,0.15,0.0,0.15,0.95,0.375,28.9605,0.05
qwen-local,no_knowledge,P4,20,0.95,0.15,0.1,0.0,0.4,0.85,0.4083,27.1055,0.15
qwen-local,no_knowledge,P5,20,0.8,0.35,0.15,0.0,0.25,0.55,0.35,23.27,0.45
