backbone,ablation,process_id,n,diagnosis_ok,substance_ok,dose_ok,tools_ok,gateway_ok,escalation_ok,overall,mean_latency_s,escalation_rate
deepseek-chat,full,P1,20,1.0,0.2,0.05,0.0,0.75,0.85,0.475,16.7825,0.15
deepseek-chat,full,P2,20,0.9,0.3,0.55,0.0,0.45,1.0,0.5333,19.8025,0.0
deepseek-chat,full,P3,20,1.0,0.2,0.0,0.0,0.45,0.95,0.4333,21.4015,0.05
deepseek-chat,full,P4,20,0.8,0.1,0.05,0.0,0.2,0.9,0.3417,26.6205,0.1
deepseek-chat,full,P5,20,0.9,0.35,0.0,0.0,0.15,0.9,0.3833,32.63,0.1
deepseek-chat,no_execution,P1,20,1.0,0.35,0.0,0.0,0.75,1.0,0.5167,19.668,0.0
deepseek-chat,no_execution,P2,20,0.9,0.15,0.65,0.0,0.55,1.0,0.5417,21.231,0.0
deepseek-chat,no_execution,P3,20,0.95,0.2,0.0,0.0,0.45,0.95,0.425,22.3645,0.05
deepseek-chat,no_execution,P4,20,0.7,0.15,0.05,0.0,0.15,0.85,0.3167,24.6655,0.15
deepseek-chat,no_execution,P5,20,0.95,0.45,0.0,0.0,0.15,0.95,0.4167,30.136,0.05
deepseek-chat,no_knowledge,P1,20,0.9,0.1,0.0,0.0,0.25,0.9,0.3583,8.3955,0.1
deepseek-chat,no_knowledge,P2,20,0.95,0.15,0.05,0.0,0.1,0.95,0.3666,9.5785,0.05
deepseek-chat,no_knowledge,P3,20,1.0,0.05,0.0,0.0,0.0,0.95,0.3333,14.8535,0.05
deepseek-chat,no_knowledge,P4,20,0.9,0.35,0.0,0.0,0.1,0.9,0.375,7.4685,0.1
deepseek-chat,no_knowledge,P5,20,1.0,0.7,0.0,0.0,0.0,1.0,0.45,9.272,0.0
gemma4-local,full,P1,20,0.95,0.3,0.1,0.0,0.85,0.95,0.525,49.3755,0.05
gemma4-local,full,P2,20,0.9,0.2,0.35,0.0,0.55,1.0,0.5,59.6395,0.0
gemma4-local,full,P3,20,1.0,0.3,0.15,0.0,0.55,0.95,0.4917,67.577,0.05
gemma4-local,full,P4,20,1.0,0.3,0.3,0.0,0.25,0.95,0.4667,74.001,0.05
gemma4-local,full,P5,20,1.0,0.35,0.15,0.0,0.35,0.9,0.4583,91.166,0.1
gemma4-local,no_execution,P1,20,1.0,0.4,0.05,0.0,0.9,1.0,0.5583,51.49,0.0
gemma4-local,no_execution,P2,20,0.85,0.15,0.45,0.0,0.6,1.0,0.5083,61.304,0.0
gemma4-local,no_execution,P3,20,0.95,0.25,0.25,0.0,0.55,0.95,0.4917,67.177,0.05
gemma4-local,no_execution,P4,20,0.9,0.1,0.35,0.0,0.2,0.95,0.4167,75.105,0.05
gemma4-local,no_execution,P5,20,0.9,0.4,0.1,0.0,0.35,0.95,0.45,79.8755,0.05
gemma4-local,no_knowledge,P1,20,1.0,0.05,0.0,0.0,0.5,1.0,0.425,23.4085,0.0
gemma4-local,no_knowledge,P2,20,0.85,0.1,0.0,0.0,0.2,0.95,0.35,27.748,0.05
gemma4-local,no_knowledge,P3,20,1.0,0.0,0.05,0.0,0.2,1.0,0.375,32.061,0.0
gemma4-local,no_knowledge,P4,20,1.0,0.2,0.0,0.0,0.35,1.0,0.425,26.208,0.0
gemma4-local,no_knowledge,P5,20,1.0,0.35,0.15,0.0,0.2,1.0,0.45,23.281,0.0
qwen-local,full,P1,20,1.0,0.3,0.05,0.0,0.85,1.0,0.5333,45.5805,0.0
qwen-local,full,P2,20,0.85,0.2,0.45,0.0,0.6,1.0,0.5167,63.946,0.0
qwen-local,full,P3,20,0.95,0.3,0.15,0.0,0.55,0.9,0.475,70.194,0.1
qwen-local,full,P4,20,0.9,0.15,0.4,0.0,0.25,0.95,0.4417,74.1565,0.05
qwen-local,full,P5,20,1.0,0.45,0.1,0.0,0.25,0.95,0.4583,78.836,0.05
qwen-local,no_execution,P1,20,1.0,0.4,0.05,0.0,0.9,1.0,0.5583,51.876,0.0
qwen-local,no_execution,P2,20,0.9,0.15,0.55,0.0,0.6,1.0,0.5333,58.47,0.0
qwen-local,no_execution,P3,20,1.0,0.2,0.15,0.0,0.55,1.0,0.4833,70.0435,0.0
qwen-local,no_execution,P4,20,0.9,0.15,0.25,0.0,0.2,0.95,0.4083,77.971,0.05
qwen-local,no_execution,P5,20,0.95,0.3,0.15,0.0,0.2,1.0,0.4333,74.0035,0.0
qwen-local,no_knowledge,P1,20,1.0,0.15,0.0,0.0,0.5,1.0,0.4417,24.0965,0.0
qwen-local,no_knowledge,P2,20,0.95,0.3,0.05,0.0,0.2,1.0,0.4167,26.5345,0.0
qwen-local,no_knowledge,P3,20,1.0,0.0,0.1,0.0,0.25,1.0,0.3916,26.9725,0.0
qwen-local,no_knowledge,P4,20,1.0,0.2,0.05,0.0,0.2,1.0,0.4083,27.3885,0.0
qwen-local,no_knowledge,P5,20,1.0,0.4,0.2,0.0,0.15,1.0,0.4583,22.6645,0.0
