backbone,ablation,process_id,n,diagnosis_ok,substance_ok,dose_ok,tools_ok,gateway_ok,escalation_ok,overall,mean_latency_s,escalation_rate
deepseek-chat,monolithic,P1,20,1.0,0.75,0.2,0.0,0.0,1.0,0.4917,1.5425,0.0
deepseek-chat,monolithic,P2,20,1.0,0.35,0.7,0.0,0.0,1.0,0.5083,1.5065,0.0
deepseek-chat,monolithic,P3,20,1.0,0.15,0.35,0.0,0.0,1.0,0.4167,1.946,0.0
deepseek-chat,monolithic,P4,20,1.0,0.9,0.0,0.0,0.0,1.0,0.4833,1.5795,0.0
deepseek-chat,monolithic,P5,20,1.0,1.0,0.45,0.0,0.0,1.0,0.575,1.971,0.0
gemma4-local,monolithic,P1,20,1.0,0.7,0.05,0.0,0.0,1.0,0.4583,1.5875,0.0
gemma4-local,monolithic,P2,20,1.0,0.15,0.0,0.0,0.0,1.0,0.3583,1.8405,0.0
gemma4-local,monolithic,P3,20,1.0,0.0,0.0,0.0,0.0,1.0,0.3333,1.6935,0.0
gemma4-local,monolithic,P4,20,1.0,0.75,0.05,0.0,0.0,1.0,0.4667,2.226,0.0
gemma4-local,monolithic,P5,20,1.0,1.0,0.0,0.0,0.0,1.0,0.5,2.384,0.0
qwen-local,monolithic,P1,20,1.0,0.7,0.05,0.0,0.0,1.0,0.4583,1.583,0.0
qwen-local,monolithic,P2,20,1.0,0.15,0.0,0.0,0.0,1.0,0.3583,1.842,0.0
qwen-local,monolithic,P3,20,1.0,0.0,0.0,0.0,0.0,1.0,0.3333,1.69,0.0
qwen-local,monolithic,P4,20,1.0,0.75,0.05,0.0,0.0,1.0,0.4667,2.2265,0.0
qwen-local,monolithic,P5,20,1.0,1.0,0.0,0.0,0.0,1.0,0.5,2.384,0.0
