backbone,ablation,process_id,n,diagnosis_ok,substance_ok,dose_ok,tools_ok,gateway_ok,escalation_ok,overall,mean_latency_s,escalation_rate
deepseek-chat,full,P1,20,0.95,0.75,0.0,1.0,1.0,0.95,0.775,23.569,0.05
deepseek-chat,full,P2,20,1.0,0.9,0.55,1.0,1.0,1.0,0.9083,20.5635,0.0
deepseek-chat,full,P3,20,0.85,0.9,0.15,1.0,1.0,0.95,0.8083,21.6505,0.05
deepseek-chat,full,P4,20,0.75,0.8,0.0,1.0,1.0,0.8,0.725,26.5735,0.2
deepseek-chat,full,P5,20,1.0,0.45,0.05,1.0,1.0,1.0,0.75,30.7995,0.0
gemma4-local,full,P1,20,1.0,0.95,0.1,1.0,1.0,1.0,0.8416,69.3245,0.0
gemma4-local,full,P2,20,1.0,0.9,0.65,1.0,1.0,0.9,0.9083,73.719,0.1
gemma4-local,full,P3,20,0.9,0.9,0.2,1.0,1.0,1.0,0.8333,80.1455,0.0
gemma4-local,full,P4,20,1.0,1.0,0.35,0.95,1.0,0.95,0.875,76.7105,0.05
gemma4-local,full,P5,20,0.95,0.5,0.0,1.0,1.0,1.0,0.7417,92.3105,0.0
qwen-local,full,P1,20,1.0,0.9,0.05,1.0,1.0,1.0,0.825,73.2845,0.0
qwen-local,full,P2,20,1.0,0.85,0.6,1.0,1.0,1.0,0.9083,70.0105,0.0
qwen-local,full,P3,20,0.85,0.85,0.2,1.0,1.0,1.0,0.8167,81.3005,0.0
qwen-local,full,P4,20,1.0,1.0,0.3,1.0,1.0,1.0,0.8833,71.4475,0.0
qwen-local,full,P5,20,1.0,0.7,0.0,1.0,1.0,1.0,0.7833,88.629,0.0
